chlorides,fixed acidity,pH,sulphates,volatile acidity,quality white
0.048 g(sodium chloride)/dm^3,8.4 g(tartaric acid)/dm^3,3.4 ,0.46 g(potassium sulphate)/dm^3,0.28 g(acetic acid)/dm^3,False
0.073 g(sodium chloride)/dm^3,6.9 g(tartaric acid)/dm^3,3.45 ,0.52 g(potassium sulphate)/dm^3,0.605 g(acetic acid)/dm^3,False
0.092 g(sodium chloride)/dm^3,8.8 g(tartaric acid)/dm^3,3.19 ,0.52 g(potassium sulphate)/dm^3,0.42 g(acetic acid)/dm^3,False
0.031 g(sodium chloride)/dm^3,6.6 g(tartaric acid)/dm^3,3.17 ,0.58 g(potassium sulphate)/dm^3,0.17 g(acetic acid)/dm^3,True
0.076 g(sodium chloride)/dm^3,8.3 g(tartaric acid)/dm^3,3.26 ,0.7 g(potassium sulphate)/dm^3,0.26 g(acetic acid)/dm^3,False
0.049 g(sodium chloride)/dm^3,7.2 g(tartaric acid)/dm^3,3.41 ,0.4 g(potassium sulphate)/dm^3,0.23 g(acetic acid)/dm^3,False
0.089 g(sodium chloride)/dm^3,7.2 g(tartaric acid)/dm^3,3.37 ,0.68 g(potassium sulphate)/dm^3,0.48 g(acetic acid)/dm^3,False
0.029 g(sodium chloride)/dm^3,7.2 g(tartaric acid)/dm^3,3.13 ,0.63 g(potassium sulphate)/dm^3,0.24 g(acetic acid)/dm^3,True
0.034 g(sodium chloride)/dm^3,6.8 g(tartaric acid)/dm^3,3.23 ,0.69 g(potassium sulphate)/dm^3,0.19 g(acetic acid)/dm^3,False
0.255 g(sodium chloride)/dm^3,7.6 g(tartaric acid)/dm^3,3.12 ,0.43 g(potassium sulphate)/dm^3,0.36 g(acetic acid)/dm^3,True
0.039 g(sodium chloride)/dm^3,5.8 g(tartaric acid)/dm^3,3.36 ,0.47 g(potassium sulphate)/dm^3,0.13 g(acetic acid)/dm^3,True
0.04 g(sodium chloride)/dm^3,7.0 g(tartaric acid)/dm^3,3.19 ,0.58 g(potassium sulphate)/dm^3,0.23 g(acetic acid)/dm^3,True
0.081 g(sodium chloride)/dm^3,7.0 g(tartaric acid)/dm^3,3.43 ,0.59 g(potassium sulphate)/dm^3,0.54 g(acetic acid)/dm^3,False
0.066 g(sodium chloride)/dm^3,10.5 g(tartaric acid)/dm^3,3.15 ,0.9 g(potassium sulphate)/dm^3,0.24 g(acetic acid)/dm^3,False
0.054 g(sodium chloride)/dm^3,6.9 g(tartaric acid)/dm^3,2.99 ,0.38 g(potassium sulphate)/dm^3,0.25 g(acetic acid)/dm^3,True
0.057 g(sodium chloride)/dm^3,8.2 g(tartaric acid)/dm^3,3.23 ,0.81 g(potassium sulphate)/dm^3,0.34 g(acetic acid)/dm^3,False
0.086 g(sodium chloride)/dm^3,7.4 g(tartaric acid)/dm^3,3.38 ,0.5 g(potassium sulphate)/dm^3,0.59 g(acetic acid)/dm^3,False
0.093 g(sodium chloride)/dm^3,6.2 g(tartaric acid)/dm^3,3.44 ,0.66 g(potassium sulphate)/dm^3,0.2 g(acetic acid)/dm^3,False
0.049 g(sodium chloride)/dm^3,7.6 g(tartaric acid)/dm^3,3.24 ,0.45 g(potassium sulphate)/dm^3,0.48 g(acetic acid)/dm^3,False
